,date,content,coordinates,place
0,2022-04-12 21:36:41+00:00,Tabangonon ang Leyte. Ang Leyte rasad rasad nag isig tabangay. Paita ani. Mas trending pa ang showbiz issues kaysa sa #AgatonPH,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
1,2022-04-12 21:29:05+00:00,I've been crying for hours😭 My heart hurts af💔. Many lost their lives. Some are still missing. Babies still in their diapers were dug out by retrieval teams. Fly high little angels😭💔 https://t.co/JOeIPvOgKI,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
2,2022-04-12 21:21:06+00:00,HEAR US!!! HELP US!! https://t.co/E6NDZKtQ4c,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
3,2022-04-12 21:11:11+00:00,for any donation you may contact us.,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
4,2022-04-12 20:40:02+00:00,"HELP US !!!! 

#BaybayNeedsHelp #BaybayCityNeedsHelp 
#LeyteCallForHelp 
#LeyteNeedsHelp https://t.co/67O6Hcnn6p","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
5,2022-04-12 19:20:57+00:00,"Several villages in the remote areas were washed out by landslide. Retrieval and rescue operations are still on-going and hundreds of missing and casualties are already reported.
#BaybayNeedsHelp
#BaybayCityNeedsHelp
#LeyteCallForHelp
#LeyteNeedsHelp

https://t.co/14Mc9EdwYC https://t.co/sCo4VqoaeT","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
6,2022-04-12 16:56:21+00:00,#BaybayNeedsHelp 📣📣 https://t.co/gNrpbRT1CX,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
7,2022-04-12 16:37:12+00:00,@jlyallegory #BaybayNeedsHelp #LeyteNeedsHelp https://t.co/37Wlt1edDw,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
8,2022-04-12 15:41:45+00:00,@kyutieleanor Sorna nga eh,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
9,2022-04-12 15:36:13+00:00,"https://t.co/CLKcOhuIha
Message from Baybay City Mayor. 
#LeyteNeedsHelp #BaybayNeedsHelp","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
10,2022-04-12 15:24:12+00:00,Let's boost #LeyteNeedsHelp #LeyteCallForHelp #BaybayNeedsHelp #AbuyogNeedsHelp 🥺🙏,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
11,2022-04-12 15:20:22+00:00,"There are those who are in the hospital being treated and there those who cant be identified.
Just because Leytenos are making an effort to help each other does not mean that we can stand alone. We need help. Everyone who was devastated by #AgathonPH needs help.","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
