,date,content,coordinates,place
0,2022-04-12 21:21:06+00:00,HEAR US!!! HELP US!! https://t.co/E6NDZKtQ4c,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
1,2022-04-12 20:40:02+00:00,"HELP US !!!! 

#BaybayNeedsHelp #BaybayCityNeedsHelp 
#LeyteCallForHelp 
#LeyteNeedsHelp https://t.co/67O6Hcnn6p","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
2,2022-04-12 19:20:57+00:00,"Several villages in the remote areas were washed out by landslide. Retrieval and rescue operations are still on-going and hundreds of missing and casualties are already reported.
#BaybayNeedsHelp
#BaybayCityNeedsHelp
#LeyteCallForHelp
#LeyteNeedsHelp

https://t.co/14Mc9EdwYC https://t.co/sCo4VqoaeT","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
3,2022-04-12 15:20:22+00:00,"There are those who are in the hospital being treated and there those who cant be identified.
Just because Leytenos are making an effort to help each other does not mean that we can stand alone. We need help. Everyone who was devastated by #AgathonPH needs help.","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
4,2022-04-12 11:53:38+00:00,"@lenirobredo Ma'am VP, please help Abuyognons they need food, water, and clothing.","{'longitude': 124.8438494, 'latitude': 10.7922629}","{'fullName': 'Macarthur, Eastern Visayas', 'name': 'Macarthur', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
5,2022-04-12 11:21:23+00:00,"Abuyog, Leyte Dagat Side needs help, send rescuers pls","{'longitude': 124.8438494, 'latitude': 10.7922629}","{'fullName': 'Macarthur, Eastern Visayas', 'name': 'Macarthur', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
6,2022-04-12 10:54:16+00:00,@magulangsofanji @19rubz_ Thank you for your Help..,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
7,2022-04-12 10:35:31+00:00,"Landslide covering up Brgy. Cantagnos in Baybay City due to Bagyo Agaton is very devastating to look at
#BaybayCityNeedsHelp #BaybayNeedsHelp #AgatonPH https://t.co/FgoRhkyXc8","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
8,2022-04-12 09:07:17+00:00,"🙏🏻🙏🏻 Baybay needs help! We are knocking on your kind heart to help our brothers and sisters who are suffering and devastated by the Typhoon Agaton.
#BaybayNeedsHelp 
#LeyteNeedsHelp 
#AgatonPH https://t.co/DJO3CXucZM","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
9,2022-04-12 08:49:28+00:00,"Hello twitter friends!!

We are knocking for your generous hearts to help us raise donations for those who affected by Typhoon Agaton in My home town Baybay Leyte. 
#BaybayCityNeedsHelp #BaybayNeedsHelp #AgatonPH #AbuyogNeedsHelp https://t.co/Ecsi6aJPbU","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
10,2022-04-12 08:28:27+00:00,"Screw bagyo, i want ice scramble","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
11,2022-04-12 07:21:43+00:00,"We need HELP
#RescuePH #LeyteNeedsHelp #BaybayNeedsHelp #AgatonPH #BasyangPH https://t.co/dqMU01bgaM","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
12,2022-04-12 04:47:10+00:00,"!! BAYBAY CITY LEYTE NEEDS HELP !! 

Calling the attention of all rescuers from different agencies or organizations, rescuers from different municipalities, rescuers of the Philippines, the people of BAYBAY CITY, Leyte need your help

#rescue #BaybayCityNeedsHelp https://t.co/lQnUbi5qqv","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
13,2022-04-12 04:34:57+00:00,Thank you sunshines..malaking tulong na po ito..sa gusto pa pong tumulong..maraming salamt po.. https://t.co/SRDJ90k2jI,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
14,2022-04-12 02:42:01+00:00,Ito po yung buong barangay po na natabunan po ng landslide..kalahati pa lang po yung survivor..yung iba po missing pa rin… almost 200 persons pa po ang missing..#BaybayNeedsHelp https://t.co/xh6UTujOGB,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
15,2022-04-12 00:21:50+00:00,Please help boost #BaybayNeedsHelp 🥺💔,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
16,2022-04-12 00:20:12+00:00,Nakakalungkot lang kasi isipin na mas nag tretrend pa mga chismis ng mga artista kaysa sa mga pangyayari dito sa amin. Ang dami na po ng namamatay. Tas wala pa ring tigil ang ulan 💔😭,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
17,2022-04-11 23:23:50+00:00,"❗️❗️#BaybayNeedsHELP ❤️ [April 12, 2022 at 4:22AM ]

Calling the attention of all rescuers from different agencies or organizations, rescuers from different municipalities, rescuers of the Philippines, the people of BAYBAY CITY, Leyte need your help. 
#AgatonPH https://t.co/LlY5KuflkR","{'longitude': 124.7208065, 'latitude': 10.4606567}","{'fullName': 'Inopacan, Eastern Visayas', 'name': 'Inopacan', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
18,2022-04-11 14:10:16+00:00,"Pray for baybay, leyte
We need help","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
19,2022-04-11 12:28:14+00:00,"My Beloved Home Town The 5th District of Leyte distroyed by Typhoon Agaton in need of help 🙏😭
#AgatonPH #BaybayNeedsHelp https://t.co/NXFCC2zkp3","{'longitude': 124.7208065, 'latitude': 10.4606567}","{'fullName': 'Inopacan, Eastern Visayas', 'name': 'Inopacan', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
20,2022-04-11 12:08:07+00:00,"@wtfffgrasya Thank u mem. 😘
Ok la, damo la an mga ruba. Makalolooy la an mga na landslide kay atop nala nakit-an ha ira. Damo ghap an patay.","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
21,2022-04-11 11:32:11+00:00,Kalilisang na landslide 😢,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
22,2022-04-11 11:29:00+00:00,Baybay City needs help.,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
23,2022-04-11 09:47:49+00:00,We need help!🙏😭 https://t.co/TEZ1hKfXAk,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
24,2022-04-11 09:47:13+00:00,"Bay bay city needs help🙏
#XQK #XRPLcommunity  #AgatonPH https://t.co/pGjJGrELbT","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
25,2022-04-11 06:53:25+00:00,"To my high school classmate who lost his family due to landslide,be strong! may God strengthen you and your  relatives. May you get through this difficult time, through prayers and the comfort of friends. My sincere condolences for your great loss. 😭 #AgatonPH #BaybayNeedsHelp https://t.co/SBlxkxmwbX","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
26,2022-04-11 05:43:43+00:00,Please send help! #LeyteNeedsHelp https://t.co/P4nzZQFK5U,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
27,2022-04-11 03:54:14+00:00,flooding that reached the roof of some houses. The flood in Poblacion is already deep. There are also others who have been waiting for rescue since the flood is already deep but can't be rescued because of the heavy rain until now. Some of the brgy's here have landslide and the,"{'longitude': 124.7208065, 'latitude': 10.4606567}","{'fullName': 'Inopacan, Eastern Visayas', 'name': 'Inopacan', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
28,2022-04-11 03:52:59+00:00,"!! BAYBAY CITY LEYTE NEEDS HELP !! 🙏

Calling the attention of all rescuers from different agencies or organizations, rescuers from different municipalities, rescuers of the Philippines, the people of BAYBAY CITY, Leyte need your help.

Many barangays are now experiencing high https://t.co/5KKDSzz91i","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
29,2022-04-11 03:08:02+00:00,"Yung mga bagong tarp ni Loren, basura at hazard na sa kalsada pagkatapos ng bagyo. Luntiang Pilipinas.","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
30,2022-04-11 03:03:56+00:00,"Baybay. Lampas tuhod ang tubig. Kailangan itulak ang van sa mga bahang kalsada. May mga sections na may landslide. Malakas ang alon. May umikot na bangka.

Hinabol ko ata ang bagyo.","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
31,2022-04-11 02:29:27+00:00,Abi kog grabi na ang inopacan na baha pag ari baybay kay nagpasignal samot man nuon. 😭😭😭,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
32,2022-04-11 01:28:57+00:00,"@Brenny_Whistler Dami na landslide dito 
Tita..wala na kami tubig,kuryente..smart signal nalang meron..1st time to nangyari didto..halos 1 week na kac umuulan..lahat ng ilog dito umapaw na..","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
33,2022-04-10 21:54:18+00:00,baha na,"{'longitude': 124.8438494, 'latitude': 10.7922629}","{'fullName': 'Macarthur, Eastern Visayas', 'name': 'Macarthur', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
34,2022-04-10 21:10:56+00:00,Patuloy pa rin ang paglakas ng ulan at pagtaas ng baha😭,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
35,2022-04-10 16:59:48+00:00,"Pray for Us here in Leyte 🙏🙏😥😥 Flood everywhere, rescuers are limited, lots of residence to be rescued 🙏🙏 #AgatonPH","{'longitude': 124.9263823, 'latitude': 10.5213415}","{'fullName': 'Mahaplag, Eastern Visayas', 'name': 'Mahaplag', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
36,2022-04-10 11:37:16+00:00,"@DonnMercs according sa ato migo from Baybay Bulletin, baha sad didto sa Pangasugan kay dako baya ang suba.","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
37,2022-04-10 11:15:39+00:00,"#AgatonPH Minahal Kita Native Restaurant submerges in flood as Pagbanganan River, the biggest in #BaybayCity overflows. https://t.co/UEyn2hpKyC","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
