id,rating,date,content,coordinates,place
0,2,2022-04-12 21:21:06+00:00,HEAR US!!! HELP US!! https://t.co/E6NDZKtQ4c,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
1,0,2022-04-12 20:56:00+00:00,"Grabe Yung ulan kala ko Hindi na titigil
#prayforeasternvisayas","{'longitude': 124.3892082, 'latitude': 11.5046982}","{'fullName': 'Naval, Eastern Visayas', 'name': 'Naval', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
2,1,2022-04-12 20:53:09+00:00,"We know too well that Biliranons,Leyteños and Samarnons are resilient but they need help too. 🙏 Pray for Eastern Visayas!","{'longitude': 124.3892082, 'latitude': 11.5046982}","{'fullName': 'Naval, Eastern Visayas', 'name': 'Naval', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
3,1,2022-04-12 20:44:43+00:00,"The flood waters entered our residence past 12mn earlier. I was trying not to panic but it really gave me quite a scare since i was alone. 😵‍💫 thankfully, the it stopped raining around 2am so the water didn’t rise any higher than this. Baha is real talaga! https://t.co/2vHvkPsKS2","{'longitude': 124.8055272, 'latitude': 11.32366}","{'fullName': 'Babatngon, Eastern Visayas', 'name': 'Babatngon', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
4,2,2022-04-12 20:40:02+00:00,"HELP US !!!! 

#BaybayNeedsHelp #BaybayCityNeedsHelp 
#LeyteCallForHelp 
#LeyteNeedsHelp https://t.co/67O6Hcnn6p","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
5,2,2022-04-12 19:20:57+00:00,"Several villages in the remote areas were washed out by landslide. Retrieval and rescue operations are still on-going and hundreds of missing and casualties are already reported.
#BaybayNeedsHelp
#BaybayCityNeedsHelp
#LeyteCallForHelp
#LeyteNeedsHelp

https://t.co/14Mc9EdwYC https://t.co/sCo4VqoaeT","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
6,0,2022-04-12 18:18:34+00:00,"@nove_luna Balik muna sa training. Talagang may kulang pa eh, sayang yong talent ng boys and girls. nahighlight don sa PPOP con ang kakulangan, sana nakita yon management nila para mas makaka tulong sa PPOP Rise to the world.","{'longitude': 123.9114563, 'latitude': 10.3107867}","{'fullName': 'Mandaue City, Central Visayas', 'name': 'Mandaue City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
7,0,2022-04-12 17:38:47+00:00,HAHAHAHA I can't help myself from thinking 'bout youuuu.,"{'longitude': 123.9114563, 'latitude': 10.3107867}","{'fullName': 'Mandaue City, Central Visayas', 'name': 'Mandaue City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
8,1,2022-04-12 16:37:46+00:00,"If ever wala na ang bagyo ugma, ang problem na sad kay asa mu agi padung bantayan. Both balamban-asturias-tubaran and catmon-sogod-borbon roads are unpassable. So unsaon nlang among gi deposit if di madayun lol","{'longitude': 123.7647381, 'latitude': 10.2594754}","{'fullName': 'Cebu City, Central Visayas', 'name': 'Cebu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
9,1,2022-04-12 16:23:17+00:00,"With the apparent damage that the typhoon has caused, it's our job as servant leaders to extend our helping hand. 

We're knocking at your kind hearts to extend what you can to help those who are unfortunately affected by Typhoon #AgatonPH.","{'longitude': 123.7647381, 'latitude': 10.2594754}","{'fullName': 'Cebu City, Central Visayas', 'name': 'Cebu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
10,0,2022-04-12 16:09:47+00:00,"Hi, sinong may kr add dyan? May itanong lang sana ako hihi🥲 help me juseyo~","{'longitude': 123.7647381, 'latitude': 10.2594754}","{'fullName': 'Cebu City, Central Visayas', 'name': 'Cebu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
11,1,2022-04-12 15:37:59+00:00,"Region 8 Needs Our Help

#LeyteNeedsHelp
#AbuyogNeedsHelp
#BaybayNeedsHelp 
#LeyteNeedsHelp https://t.co/YHhDOIUXfp","{'longitude': 124.8789588, 'latitude': 11.1382777}","{'fullName': 'Santa Fe, Eastern Visayas', 'name': 'Santa Fe', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
12,2,2022-04-12 15:20:22+00:00,"There are those who are in the hospital being treated and there those who cant be identified.
Just because Leytenos are making an effort to help each other does not mean that we can stand alone. We need help. Everyone who was devastated by #AgathonPH needs help.","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
13,0,2022-04-12 15:03:47+00:00,Maka luya jud ning aftermath sa baha,"{'longitude': 123.8393178, 'latitude': 10.4764289}","{'fullName': 'Danao City, Central Visayas', 'name': 'Danao City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
14,1,2022-04-12 14:59:12+00:00,"Lakas ng hangin at ulan grabi! 
Ingat kayo guys! #altertacloban","{'longitude': 124.9736872, 'latitude': 11.256245}","{'fullName': 'Basey, Eastern Visayas', 'name': 'Basey', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
15,2,2022-04-12 14:49:00+00:00,"Leyte needs all the attention it can get.

Marami na pong mga natabunan ng lupa. 
Marami na pong nadala ng rumaragasang tubig.
Marami po ang nangangailangan ng atensyong medikal. We need manpower for search and rescue. Plssss send help! 

@gmanews @ABSCBNNews

#AgatonPH https://t.co/tUnuXqfOkK","{'longitude': 124.6700376, 'latitude': 11.0695902}","{'fullName': 'Jaro, Eastern Visayas', 'name': 'Jaro', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
16,0,2022-04-12 13:13:45+00:00,@mayc2325 Gikan sad ko meeting and training the whole day. Return to Office mo or work from home? Amping lang gyud og gali mulakaw. Maayo unta wala lang gyud baha,"{'longitude': 123.7722811, 'latitude': 10.2343911}","{'fullName': 'Talisay City, Central Visayas', 'name': 'Talisay City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
17,0,2022-04-12 12:30:37+00:00,sorry sa pag flood sa fb. basta mao ni rason https://t.co/Ym4wUhsjb9,"{'longitude': 123.9114563, 'latitude': 10.3107867}","{'fullName': 'Mandaue City, Central Visayas', 'name': 'Mandaue City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
18,1,2022-04-12 11:53:38+00:00,"@lenirobredo Ma'am VP, please help Abuyognons they need food, water, and clothing.","{'longitude': 124.8438494, 'latitude': 10.7922629}","{'fullName': 'Macarthur, Eastern Visayas', 'name': 'Macarthur', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
19,0,2022-04-12 11:51:23+00:00,Sakita mag tan aw sa updates about sa landslide oy,"{'longitude': 123.7376399, 'latitude': 10.2300366}","{'fullName': 'Minglanilla, Central Visayas', 'name': 'Minglanilla', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
20,0,2022-04-12 11:45:16+00:00,@DongJose @enjoyGLOBE Hahahaha tinood! Dle kaya tungod sa bagyo? Basin naa na cut na lines ba,"{'longitude': 123.7647381, 'latitude': 10.2594754}","{'fullName': 'Cebu City, Central Visayas', 'name': 'Cebu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
21,2,2022-04-12 11:21:23+00:00,"Abuyog, Leyte Dagat Side needs help, send rescuers pls","{'longitude': 124.8438494, 'latitude': 10.7922629}","{'fullName': 'Macarthur, Eastern Visayas', 'name': 'Macarthur', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
22,0,2022-04-12 10:54:16+00:00,@magulangsofanji @19rubz_ Thank you for your Help..,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
23,0,2022-04-12 10:38:23+00:00,Baha ang Mandaue? 😔,"{'longitude': 123.7722811, 'latitude': 10.2343911}","{'fullName': 'Talisay City, Central Visayas', 'name': 'Talisay City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
24,0,2022-04-12 10:37:57+00:00,Omg. Baha is real 😭😭😭 busy ako magwork tapos lumulutang na pala lahat 😭😭,"{'longitude': 124.3892082, 'latitude': 11.5046982}","{'fullName': 'Naval, Eastern Visayas', 'name': 'Naval', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
25,0,2022-04-12 10:36:23+00:00,"Lord, please be with everyone waiting to be rescued, keep them safe, and bring help to them soon. God, bless each and every person affected by this storm and surround them with Your love, protection, and angels. 🙏🙏🙏","{'longitude': 123.9086254, 'latitude': 10.2035208}","{'fullName': 'Lapu-Lapu City, Central Visayas', 'name': 'Lapu-Lapu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
26,2,2022-04-12 10:35:31+00:00,"Landslide covering up Brgy. Cantagnos in Baybay City due to Bagyo Agaton is very devastating to look at
#BaybayCityNeedsHelp #BaybayNeedsHelp #AgatonPH https://t.co/FgoRhkyXc8","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
27,0,2022-04-12 10:06:33+00:00,"2. If you want to donate/sponsor personally, just approach RV Sanoria (Bantayan), Czarina Persy Kate Rivera (Bantayan), or Maria Nova Silvano (Santa Fe). 

3. You can also help us reach potential donors/sponsors by sharing this post. 

(4) https://t.co/uX9OdKKEiC","{'longitude': 123.7565237, 'latitude': 11.1474093}","{'fullName': 'Santa Fe, Central Visayas', 'name': 'Santa Fe', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
28,0,2022-04-12 10:06:21+00:00,"HOW CAN YOU HELP?

1. You can directly donate a minimum of Php 50.00 through GCash or Bank Transfer. Please SEND PROOF of your online donations for monitoring purposes.

(3) https://t.co/zHf7RexcFK","{'longitude': 123.7565237, 'latitude': 11.1474093}","{'fullName': 'Santa Fe, Central Visayas', 'name': 'Santa Fe', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
29,0,2022-04-12 10:06:17+00:00,"As the tournament is fast approaching, Bantayan Islanders still lack financial support. 

This fundraising “Imo Singkwenta, May Kwenta” aims to help the team raise a desired amount of money for the team’s overall expenses for the said national tournament.
 
(2) https://t.co/sbuQJ4hSmf","{'longitude': 123.7565237, 'latitude': 11.1474093}","{'fullName': 'Santa Fe, Central Visayas', 'name': 'Santa Fe', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
30,0,2022-04-12 09:49:17+00:00,@JuanHakobo Kaau. Nya naa pay musunod na bagyo ani,"{'longitude': 123.9086254, 'latitude': 10.2035208}","{'fullName': 'Lapu-Lapu City, Central Visayas', 'name': 'Lapu-Lapu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
31,2,2022-04-12 09:07:17+00:00,"🙏🏻🙏🏻 Baybay needs help! We are knocking on your kind heart to help our brothers and sisters who are suffering and devastated by the Typhoon Agaton.
#BaybayNeedsHelp 
#LeyteNeedsHelp 
#AgatonPH https://t.co/DJO3CXucZM","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
32,1,2022-04-12 08:49:28+00:00,"Hello twitter friends!!

We are knocking for your generous hearts to help us raise donations for those who affected by Typhoon Agaton in My home town Baybay Leyte. 
#BaybayCityNeedsHelp #BaybayNeedsHelp #AgatonPH #AbuyogNeedsHelp https://t.co/Ecsi6aJPbU","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
33,0,2022-04-12 08:28:27+00:00,"Screw bagyo, i want ice scramble","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
34,0,2022-04-12 08:14:43+00:00,Anlakas nang ulan.,"{'longitude': 124.3892082, 'latitude': 11.5046982}","{'fullName': 'Naval, Eastern Visayas', 'name': 'Naval', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
35,0,2022-04-12 08:08:46+00:00,hapit najud taga hawak ang baha diris amua 😭😭😭,"{'longitude': 123.8393178, 'latitude': 10.4764289}","{'fullName': 'Danao City, Central Visayas', 'name': 'Danao City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
36,0,2022-04-12 07:27:47+00:00,Pati bagyo finifakenews 😭 https://t.co/KU2HdtW0TT,"{'longitude': 123.924315, 'latitude': 10.3484357}","{'fullName': 'Consolacion, Central Visayas', 'name': 'Consolacion', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
