,date,content,coordinates,place
0,2022-04-12 23:59:46+00:00,Sanay nagid kami d ga baha sa amon brgy halin bata pako pero sbong ko lang na experienced ang muto kadalom kag kdasig sang tubig.,"{'longitude': 122.7256552, 'latitude': 11.375959}","{'fullName': 'Panitan, Western Visayas', 'name': 'Panitan', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
1,2022-04-12 23:38:02+00:00,Buti kalmado lang kahit may bagyo daw 💙🤍 🌊 #beachlife #NasugboBatangas https://t.co/BtOc1f73Y7,"{'longitude': 121.0276544, 'latitude': 13.5245328}","{'fullName': 'Batangas City, Calabarzon', 'name': 'Batangas City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
2,2022-04-12 23:34:37+00:00,@banbany13 Ga bagyo jud sa amoang lugar ban.. di makaya,"{'longitude': 125.2148204, 'latitude': 6.9590062}","{'fullName': 'Davao City, Davao Region', 'name': 'Davao City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
3,2022-04-12 23:26:21+00:00,"I'm at Sahud Ulan Public Market in Tanza, Calabarzon https://t.co/MJ4yX76NH5","{'longitude': 120.825836, 'latitude': 14.370285}","{'fullName': 'Tanza, Calabarzon', 'name': 'Tanza', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
4,2022-04-12 23:10:59+00:00,Kusog kaayu ulan diri.,"{'longitude': 124.7383245, 'latitude': 8.4612573}","{'fullName': 'Tagoloan, Northern Mindanao', 'name': 'Tagoloan', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
5,2022-04-12 23:10:46+00:00,Pasikat sab jud ning ulan oy,"{'longitude': 125.4480073, 'latitude': 8.7765333}","{'fullName': 'Butuan City, Caraga', 'name': 'Butuan City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
6,2022-04-12 22:56:46+00:00,@yasheina Let me know how can i help. Pang dagdag sa ballpen na pinamimigay niya,"{'longitude': 121.0518106, 'latitude': 14.542797}","{'fullName': 'Pasig City, National Capital Region', 'name': 'Pasig City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
7,2022-04-12 22:53:50+00:00,"@DOTrPH Thank you sa libreng sakay! laking tulong po ito! 

Gen Luis Novaliches- MRT https://t.co/ssjqETU7IX","{'longitude': 120.989705, 'latitude': 14.5893763}","{'fullName': 'Quezon City, National Capital Region', 'name': 'Quezon City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
8,2022-04-12 22:50:19+00:00,Kusog nasad kayong ulan huhu,"{'longitude': 124.4454046, 'latitude': 8.2312831}","{'fullName': 'Cagayan De Oro City, Northern Mindanao', 'name': 'Cagayan De Oro City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
9,2022-04-12 22:42:57+00:00,Ulan pa more.,"{'longitude': 124.7383245, 'latitude': 8.4612573}","{'fullName': 'Tagoloan, Northern Mindanao', 'name': 'Tagoloan', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
10,2022-04-12 22:34:26+00:00,wa njud ko nalipay aning ulan wala nako'y underwear di gka uga.,"{'longitude': 124.7409106, 'latitude': 8.5490999}","{'fullName': 'Villanueva, Northern Mindanao', 'name': 'Villanueva', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
11,2022-04-12 22:29:34+00:00,"Walang Impossible Ky God Turn Helping My Tao sya Sinugo Mommsy @lenirobredo We Help Specific Disaster Area All The Time

#LeyteCallForHelp https://t.co/gkWsZhZtYX","{'longitude': 120.2311152, 'latitude': 15.2383695}","{'fullName': 'Capas, Central Luzon', 'name': 'Capas', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
12,2022-04-12 22:21:41+00:00,"Sa wakas nag untat na ang ulan. Thank you, Lord! 🙏🏻","{'longitude': 122.900966, 'latitude': 11.3713887}","{'fullName': 'President Roxas, Western Visayas', 'name': 'President Roxas', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
13,2022-04-12 22:17:49+00:00,Shitt sad kaayo ni ulan oy. 🌧️🌧️🌧️,"{'longitude': 124.7383245, 'latitude': 8.4612573}","{'fullName': 'Tagoloan, Northern Mindanao', 'name': 'Tagoloan', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
14,2022-04-12 22:17:12+00:00,Animal maning ulan oy. 🌧️🌧️🌧️,"{'longitude': 124.7383245, 'latitude': 8.4612573}","{'fullName': 'Tagoloan, Northern Mindanao', 'name': 'Tagoloan', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
